31	index, follow	https://sbti.support/zh/games/league-of-legends	英雄联盟 玩家人格测试：测测你在游戏里是哪种玩家 | SBTI
32	index, follow	https://sbti.support/zh/games/delta-force	三角洲行动 玩家人格测试：测测你在游戏里是哪种玩家 | SBTI
31	index, follow	https://sbti.support/zh/games/valorant	无畏契约 玩家人格测试：测测你在游戏里是哪种玩家 | SBTI
35	index, follow	https://sbti.support/ja/games/valorant/compat	ヴァロラント プレイヤー相性診断：あなたと味方の相性は？ | SBTI
34	index, follow	https://sbti.support/zh/games/apex-legends	Apex 英雄 玩家人格测试：测测你在游戏里是哪种玩家 | SBTI
34	index, follow	https://sbti.support/ja/privacy-policy	プライバシーポリシー | SBTI 面白い性格診断のデータの取り扱い
31	index, follow	https://sbti.support/zh/games/honor-of-kings	王者荣耀 玩家人格测试：测测你在游戏里是哪种玩家 | SBTI
32	index, follow	https://sbti.support/zh/games/valorant/result/clutch-narrator	残局解说员：无畏契约 玩家类型解析与特点 | SBTI 游戏测试
31	index, follow	https://sbti.support/zh/games/honor-of-kings/result/teamfight-festival	开团狂魔：王者荣耀 玩家类型解析与特点 | SBTI 游戏测试
34	index, follow	https://sbti.support/zh/games/league-of-legends/result/mute-strategist	全员静音老玩家：英雄联盟 玩家类型解析与特点 | SBTI 游戏测试
59	index, follow	https://sbti.support/games/pubg-battlegrounds	PUBG: Battlegrounds Player Quiz: Which Type Are You? | SBTI
32	index, follow	https://sbti.support/zh/games/league-of-legends/result/rift-cfo	宏观会计师：英雄联盟 玩家类型解析与特点 | SBTI 游戏测试
34	index, follow	https://sbti.support/zh/games/valorant/result/data-duelist	安全第一决斗者：无畏契约 玩家类型解析与特点 | SBTI 游戏测试
33	index, follow	https://sbti.support/zh/games/delta-force/result/crate-philosopher	箱子哲学家：三角洲行动 玩家类型解析与特点 | SBTI 游戏测试
32	index, follow	https://sbti.support/zh/games/valorant/result/instalock-spectator	秒锁旁观者：无畏契约 玩家类型解析与特点 | SBTI 游戏测试
